Transaction_ID,Date,Region,Customer_Age,Ads_Spend,Sales
1,2024-01-01,East,23.0,1825.02,6973.23
2,2024-01-02,West,23.0,2232.94,8539.37
3,2024-01-03,North,20.0,4330.12,15087.7
4,2024-01-04,East,24.0,1926.15,9127.92
5,2024-01-05,East,25.0,1262.72,4530.5
6,2024-01-06,West,59.0,3005.61,10193.14
7,2024-01-07,North,32.0,4712.7,15582.12
8,2024-01-08,North,64.0,3632.13,12178.45
9,2024-01-09,East,,3065.28,10298.97
10,2024-01-10,South,50.0,937.29,4950.55
11,2024-01-11,East,47.0,3267.53,12592.51
12,2024-01-12,East,56.0,4955.24,16400.18
13,2024-01-13,East,44.0,1130.38,
14,2024-01-14,East,53.0,2832.48,10441.08
15,2024-01-15,West,46.0,4448.18,14792.39
16,2024-01-16,North,55.0,3833.46,13773.41
17,2024-01-17,West,50.0,3636.57,12799.37
18,2024-01-18,West,54.0,3661.18,11503.18
19,2024-01-19,West,44.0,2117.71,9014.68
20,2024-01-20,East,50.0,1821.16,8264.42
21,2024-01-21,South,21.0,4142.13,13764.57
22,2024-01-22,North,39.0,4145.51,
23,2024-01-23,South,19.0,4401.83,15314.53
24,2024-01-24,West,27.0,4609.58,16018.23
25,2024-01-25,West,22.0,2801.04,10490.17
26,2024-01-26,South,27.0,2756.82,11430.0
27,2024-01-27,South,,4092.33,13953.89
28,2024-01-28,South,55.0,3424.84,11320.84
29,2024-01-29,West,30.0,3658.85,11604.87
30,2024-01-30,West,48.0,4081.07,13474.67
31,2024-01-31,North,64.0,4505.02,
32,2024-02-01,North,53.0,2020.98,8902.78
33,2024-02-02,West,62.0,2190.12,7594.31
34,2024-02-03,South,41.0,922.92,4132.37
35,2024-02-04,South,32.0,3102.26,10914.1
36,2024-02-05,North,46.0,661.74,4068.28
37,2024-02-06,West,25.0,2595.19,11326.16
38,2024-02-07,North,22.0,2941.9,9989.39
39,2024-02-08,North,46.0,1789.44,6334.64
40,2024-02-09,East,64.0,3158.75,11943.33
41,2024-02-10,East,21.0,637.25,3584.72
42,2024-02-11,East,29.0,668.07,4615.18
43,2024-02-12,South,62.0,4201.7,14912.59
44,2024-02-13,West,19.0,2120.86,7499.31
45,2024-02-14,West,44.0,1071.77,4902.2
46,2024-02-15,West,48.0,2850.09,11007.27
47,2024-02-16,West,53.0,3964.97,14344.29
48,2024-02-17,East,53.0,1471.19,6113.64
49,2024-02-18,South,43.0,3303.01,12422.96
50,2024-02-19,South,60.0,884.06,4764.44
51,2024-02-20,East,44.0,732.57,4449.94
52,2024-02-21,South,22.0,2891.1,10770.47
53,2024-02-22,East,37.0,2932.86,10251.45
54,2024-02-23,West,28.0,3368.43,11896.36
55,2024-02-24,East,27.0,3767.41,14020.92
56,2024-02-25,West,57.0,4891.33,15998.72
57,2024-02-26,West,55.0,2823.35,10329.66
58,2024-02-27,North,23.0,1953.3,6935.9
59,2024-02-28,East,25.0,4078.34,14073.68
60,2024-02-29,North,40.0,1718.75,7522.75
61,2024-03-01,East,64.0,2475.37,9074.07
62,2024-03-02,East,43.0,853.05,3766.92
